1,1,13.6
3,1,15.3
1,1,15.5
2,1,15.6
1,1,15.9
2,1,16.4
2,1,16.9
1,1,18.2
2,1,19.7
5,1,21.0
3,2,12.6
2,2,14.7
1,2,17.3
6,2,17.8
5,2,18.0
7,2,19.1
132,24,20.2
1,3,15.9
2,3,17.0
8,3,17.8
9,3,17.9
2,3,18.3
4,3,18.5
6,3,18.6
3,3,18.7
2,3,18.8
1,3,21.1
1,4,14.4
2,4,14.7
5,4,16.0
2,4,16.1
4,4,16.8
3,4,16.9
1,4,17.0
5,4,17.6
1,4,17.9
3,4,18.2
2,4,18.3
12,4,18.4
11,4,18.6
3,4,18.9
4,4,19.0
7,4,19.2
5,4,20.1
22,4,21.0
15,4,21.2
2,4,22.0
12,5,13.0
30,5,14.7
3,5,14.8
4,5,14.9
1,5,15.1
13,5,15.2
4,5,16.4
7,5,16.6
1,5,17.0
2,5,17.6
1,5,17.9
6,5,18.7
4,5,19.2
8,5,19.6
8,5,20.2
11,5,20.9
9,6,16.6
9,6,17.8
8,6,19.2
3,7,16.1
4,7,18.4
10,7,19.1
18,8,17.4
6,8,19.7
