R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
241,,Joan Capdevila,Espanyol,D(L),25(1),-,-,6,-,0.5,71.5,1,1,6.55
243,,Javier Saviola,Malaga,FW,19(8),8,3,1,-,1.2,76.4,0.2,-,6.54
244,,Simão,Espanyol,AM(CLR),18(8),3,2,5,-,0.5,75.8,0.5,-,6.54
242,,Gabriel Torje,Granada,"AM(R),FW",28(6),3,-,6,-,1.3,64.9,0.6,1,6.54
245,,Alberto Bueno,Valladolid,AM(CL),14(19),5,4,4,-,1.1,78.4,0.1,1,6.53
246,,Chris,Levante,D(R),20(1),2,-,2,1,0.4,71.5,0.5,-,6.53
247,,Javier Paredes,Zaragoza,D(CL),16(4),-,-,7,-,0.1,75.4,2.3,-,6.53
248,,José Callejón,Real Madrid,"AM(LR),FW",15(15),3,3,1,-,1.5,84.6,0.3,-,6.53
249,,Francisco Puñal,Osasuna,DM(C),13(9),1,1,5,1,0.4,74.1,1.1,-,6.51
250,,Nabil El Zhar,Levante,AM(R),21(10),2,1,5,-,1.1,72.1,0.4,1,6.51
251,,Víctor Valdés,Barcelona,GK,31,-,-,1,1,-,63.6,0.2,-,6.5
252,,Lass,Rayo Vallecano,AM(LR),20(12),3,5,6,-,1.9,72.2,0.3,1,6.49
253,,Alejandro Alfaro,Mallorca,AM(CLR),13(14),6,2,1,-,1.3,80.4,0.7,1,6.48
254,,Fernando Llorente,Athletic Bilbao,FW,4(22),4,1,2,-,1.4,70.4,1.5,1,6.48
255,,Nelson Valdez,Valencia,"AM(CL),FW",6(22),6,-,4,-,1,72.6,1.4,-,6.48
256,,José María Movilla,Zaragoza,DM(C),23(6),-,3,10,-,0.3,80.4,0.4,-,6.47
257,,Rubén Pardo,Real Sociedad,DM(C),10(15),-,4,4,-,0.8,82.4,0.3,1,6.47
258,,Adrián,Atletico Madrid,"AM(CLR),FW",15(17),3,1,-,-,0.7,74.9,1.3,-,6.45
259,,Juanlu,Levante,AM(L),14(11),2,-,6,-,1,65.8,0.2,-,6.45
260,,Diego Ifrán,Real Sociedad,FW,9(17),2,3,2,-,1.5,71.2,1.2,-,6.44
