R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
101,,Imanol Agirretxe,Real Sociedad,FW,22(12),13,5,2,-,2.3,68.3,1.6,2,6.92
103,,Miguel Flaño,Osasuna,D(C),22,-,-,5,-,0.1,76.2,2.5,-,6.92
104,,Rafa,Getafe,D(C),16(3),1,-,6,-,0.6,83.8,1.9,-,6.92
102,,Coke,Sevilla,D(R),19(2),3,4,4,1,0.6,78.2,1,1,6.92
105,,Adil Rami,Valencia,D(C),24(1),-,2,5,1,0.8,82.5,2.5,1,6.91
106,,David Zurutuza,Real Sociedad,M(C),14(7),2,4,2,-,0.6,78.4,1.7,2,6.91
107,,Isco,Malaga,AM(CL),36(1),9,1,4,-,1.8,84.7,0.3,3,6.91
108,,Riki,Deportivo La Coruna,FW,36,13,1,5,-,3.4,74,2.5,2,6.91
109,,Manuel Pablo,Deportivo La Coruna,D(LR),24,-,2,5,1,0.1,80.6,1.2,-,6.91
110,,Tiago,Atletico Madrid,M(C),14(8),2,-,5,-,0.7,81.4,1.6,1,6.91
111,,Adrián,Real Betis,GK,31(1),-,-,5,-,-,48.3,0.5,2,6.9
112,,Tino Costa,Valencia,M(C),26(5),1,6,7,1,2.4,81.6,0.7,2,6.9
113,,Miguel Ángel Moyá,Getafe,GK,32,-,-,1,1,-,59,0.3,2,6.9
114,,Víctor Pérez,Valladolid,DM(C),24(1),4,-,4,-,0.7,81.4,1,1,6.9
115,,Aritz Aduriz,Athletic Bilbao,FW,33(3),14,6,11,1,2.3,72.5,2.6,2,6.89
116,,Gustavo Cabral,Celta Vigo,D(C),26(1),2,-,9,2,0.4,81.3,2.6,1,6.89
117,,Héctor Moreno,Espanyol,D(C),31(1),2,2,8,1,0.4,76.3,2.4,1,6.89
118,,Iñigo Martínez,Real Sociedad,D(C),34,4,-,9,-,0.6,79.7,1.6,1,6.89
119,,Mikel Balenziaga,Valladolid,D(L),32,-,1,3,-,0.1,72.9,1.1,1,6.89
120,,Raoul Loe,Osasuna,DM(C),18(5),2,1,3,-,0.6,69.5,3.9,-,6.89
