R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
181,,Rubén Martínez,Rayo Vallecano,GK,29(1),-,-,8,1,-,57.9,0.4,4,6.74
183,,Carlos Marchena,Deportivo La Coruna,"D(C),DM(C)",22,2,-,7,1,0.5,80.5,0.5,1,6.73
184,,José Cañas,Real Betis,DM(C),26(1),-,1,10,-,0.5,80.3,1,-,6.73
185,,Raúl Rodríguez,Espanyol,D(CR),17(5),-,-,4,1,0.3,79,1.8,1,6.73
186,,Kaká,Real Madrid,AM(CLR),12(7),3,4,1,1,1.3,85.8,0.3,-,6.73
187,,Rubén Pérez,Real Betis,DM(C),18(7),1,-,10,1,0.4,76.5,1.1,-,6.73
182,,Adrián Colunga,Getafe,"AM(L),FW",15(7),6,6,4,-,2,64.5,0.4,2,6.73
188,,Javi Varas,Celta Vigo,GK,35,-,-,4,-,-,48.8,0.4,2,6.72
189,,Raúl García,Atletico Madrid,M(CR),13(17),5,2,4,-,1.6,60.4,2.9,2,6.72
190,,Alberto Lopo,Getafe,D(C),17(4),1,1,9,-,0.4,74.7,2,1,6.71
191,,Eliseu,Malaga,"D(L),M(LR)",25(3),1,3,2,-,1.1,80.1,0.9,-,6.71
192,,Francisco Portillo,Malaga,AM(CR),20(7),2,6,2,-,0.7,85.8,0.3,2,6.71
193,,José Carlos,Rayo Vallecano,M(LR),21(11),2,1,4,-,1.7,77.9,0.5,1,6.71
194,,Juan Domínguez,Deportivo La Coruna,M(C),21(3),1,-,4,-,0.5,88.7,0.6,-,6.71
195,,Miguel Torres,Getafe,D(CLR),20(1),-,-,6,-,0.1,73,1.7,1,6.71
196,,Fernando Navarro,Sevilla,D(CL),35,-,1,10,1,0.1,79,1.6,-,6.7
197,,Jordi Amat,Rayo Vallecano,D(C),26(1),1,-,12,-,0.3,81.1,1.4,-,6.69
198,,Roberto,Zaragoza,GK,33,-,-,3,-,-,39.4,0.5,1,6.69
199,,Ander Iturraspe,Athletic Bilbao,DM(C),27(3),-,1,12,1,0.4,81,2.3,1,6.68
200,,Andoni Iraola,Athletic Bilbao,D(R),34(1),-,3,6,-,0.3,79.8,0.8,-,6.68
